geo,2002_hdi,2004_hdi,2002_work,2004_work,2002_suicide,2004_suicide
Australia,0.905,0.91,33.5,33.6,2210,2170
Austria,0.837,0.848,31.4,31.7,1480,1470
Belgium,0.878,0.861,30.4,29.8,2150,2100
Canada,0.877,0.886,33.5,33.7,3680,3830
Czech Republic,0.833,0.84,38.1,38.2,1670,1730
Denmark,0.882,0.897,30.4,30.4,715,773
Finland,0.866,0.864,33.2,33.1,1220,1090
France,0.852,0.86,29.5,30.0,9530,11600
Germany,0.872,0.884,27.8,27.7,11400,11600
Greece,0.823,0.839,40.1,39.6,386,351
Hungary,0.784,0.795,39.0,38.4,2800,2730
Iceland,0.866,0.879,34.9,34.8,34,35
Ireland,0.87,0.889,32.6,32.1,458,503
Italy,0.841,0.851,35.2,35.1,3900,4170
Japan,0.863,0.87,34.6,34.4,31400,31800
Luxembourg,0.865,0.874,31.4,30.5,72,66
Mexico,0.708,0.719,36.3,35.5,3950,4200
Netherlands,0.881,0.888,25.9,26.2,1430,1560
New Zealand,0.881,0.886,34.9,35.1,469,511
Norway,0.918,0.929,27.2,27.3,512,534
Poland,0.796,0.797,38.1,38.1,6690,6490
Portugal,0.789,0.79,34.0,33.9,676,1170
Slovak Republic,0.771,0.784,33.6,32.8,749,757
South Korea,0.835,0.852,47.4,46.0,8620,14300
Spain,0.83,0.837,33.1,32.5,3410,3580
Sweden,0.882,0.89,29.5,30.3,1140,1240
Switzerland,0.889,0.899,31.3,32.1,1280,1330
United Kingdom,0.874,0.886,32.6,32.1,4990,4710
United States,0.889,0.895,34.8,34.6,30100,33300
